,Mean score in PISA 2015 - Science,Average three-year trend - Science,Mean score in PISA 2015 - Reading,Average three-year trend - Reading,Mean score in PISA 2015 - Mathematics,Average three-year trend - Mathematics,Share of top performers in at least one subject (Level 5 or 6) - Combined,Share of low achievers in all three subjects (below Level 2) - Combined
OECD average,493,-1,493,-1,490,-1,15.3,13
Singapore,556,7,535,5,564,1,39.1,4.8
Japan,538,3,516,-2,532,1,25.8,5.6
Estonia,534,2,519,9,520,2,20.4,4.7
Chinese Taipei,532,0,497,1,542,0,29.9,8.3
Finland,531,-11,526,-5,511,-10,21.4,6.3
Macao (China),529,6,509,11,544,5,23.9,3.5
Canada,528,-2,527,1,516,-4,22.7,5.9
Viet Nam,525,-4,487,-21,495,-17,12,4.5
Hong Kong (China),523,-5,527,-3,548,1,29.3,4.5
B-S-J-G (China),518,m,494,m,531,m,27.7,10.9
Korea,516,-2,517,-11,524,-3,25.6,7.7
New Zealand,513,-7,509,-6,495,-8,20.5,10.6
Slovenia,513,-2,505,11,510,2,18.1,8.2
Australia,510,-6,503,-6,494,-8,18.4,11.1
United Kingdom,509,-1,498,2,492,-1,16.9,10.1
Germany,509,-2,509,6,506,2,19.2,9.8
Netherlands,509,-5,503,-3,512,-6,20,10.9
Switzerland,506,-2,492,-4,521,-1,22.2,10.1
Ireland,503,0,521,13,504,0,15.5,6.8
Belgium,502,-3,499,-4,507,-5,19.7,12.7
Denmark,502,2,500,3,511,-2,14.9,7.5
Poland,501,3,506,3,504,5,15.8,8.3
Portugal,501,8,498,4,492,7,15.6,10.7
Norway,498,3,513,5,502,1,17.6,8.9
United States,496,2,497,-1,470,-2,13.3,13.6
Austria,495,-5,485,-5,497,-2,16.2,13.5
France,495,0,499,2,493,-4,18.4,14.8
Sweden,493,-4,500,1,494,-5,16.7,11.4
Czech Republic,493,-5,487,5,492,-6,14,13.7
Spain,493,2,496,7,486,1,10.9,10.3
Latvia,490,1,488,2,482,0,8.3,10.5
Russia,487,3,495,17,494,6,13,7.7
Luxembourg,483,0,481,5,486,-2,14.1,17
Italy,481,2,485,0,490,7,13.5,12.2
Hungary,477,-9,470,-12,477,-4,10.3,18.5
Lithuania,475,-3,472,2,478,-2,9.5,15.3
Croatia,475,-5,487,5,464,0,9.3,14.5
CABA (Argentina),475,51,475,46,456,38,7.5,14.5
Iceland,473,-7,482,-9,488,-7,13.2,13.2
Israel,467,5,479,2,470,10,13.9,20.2
Malta,465,2,447,3,479,9,15.3,21.9
Slovak Republic,461,-10,453,-12,475,-6,9.7,20.1
Greece,455,-6,467,-8,454,1,6.8,20.7
Chile,447,2,459,5,423,4,3.3,23.3
Bulgaria,446,4,432,1,441,9,6.9,29.6
United Arab Emirates,437,-12,434,-8,427,-7,5.8,31.3
Uruguay,435,1,437,5,418,-3,3.6,30.8
Romania,435,6,434,4,444,10,4.3,24.3
Cyprus1,433,-5,443,-6,437,-3,5.6,26.1
Moldova,428,9,416,17,420,13,2.8,30.1
Albania,427,18,405,10,413,18,2,31.1
Turkey,425,2,428,-18,420,2,1.6,31.2
Trinidad and Tobago,425,7,427,5,417,2,4.2,32.9
Thailand,421,2,409,-6,415,1,1.7,35.8
Costa Rica,420,-7,427,-9,400,-6,0.9,33
Qatar,418,21,402,15,402,26,3.4,42
Colombia,416,8,425,6,390,5,1.2,38.2
Mexico,416,2,423,-1,408,5,0.6,33.8
Montenegro,411,1,427,10,418,6,2.5,33
Georgia,411,23,401,16,404,15,2.6,36.3
Jordan,409,-5,408,2,380,-1,0.6,35.7
Indonesia,403,3,397,-2,386,4,0.8,42.3
Brazil,401,3,407,-2,377,6,2.2,44.1
Peru,397,14,398,14,387,10,0.6,46.7
Lebanon,386,m,347,m,396,m,2.5,50.7
Tunisia,386,0,361,-21,367,4,0.6,57.3
FYROM,384,m,352,m,371,m,1,52.2
Kosovo,378,m,347,m,362,m,0,60.4
Algeria,376,m,350,m,360,m,0.1,61.1
Dominican Republic,332,m,358,m,328,m,0.1,70.7
