Country,Score,S.E.,GDP
OECD average,487,-0.4,44956
Chile,452,-2.6,25978
Montenegro,421,-1.1,19043
Japan,504,-2.7,44227
Mexico,420,-2.7,20602
Kazakhstan,387,-1.5,27550
Hungary,476,-2.3,31903
France,493,-2.3,45775
Canada,520,-1.8,49651
Serbia,439,-3.3,17555
China,525,-1.2,116808
Cyprus,424,-1.4,39973
Jordan,419,-2.9,9433
United States,505,-3.6,62606
Argentina,402,-3,20537
Denmark,501,-1.8,52121
Malaysia,415,-2.9,30860
Lebanon,353,-4.3,14684
Morocco,359,-3.1,8933
Ireland,518,-2.2,78785
Ukraine,466,-3.5,9283
Brunei Darussalam,408,-0.9,79530
Slovenia,495,-1.2,36746
Israel,470,-3.7,37972
Qatar,407,-0.8,130475
Italy,476,-2.4,39637
Norway,499,-2.2,74356
Australia,503,-1.6,52373
Peru,401,-3,14224
Croatia,479,-2.7,26221
Germany,498,-3,52559
Panama,377,-3,25675
Malta,448,-1.7,45606
Dominican Republic,342,-2.9,18425
Austria,484,-2.7,52137
Russia,479,-3.1,29267
Albania,405,-1.9,13345
Czech Republic,490,-2.5,37371
Iceland,474,-1.7,55917
Bulgaria,420,-3.9,23156
Estonia,523,-1.8,34096
Sweden,506,-3,52984
Latvia,479,-1.6,29901
Switzerland,484,-3.1,64649
Singapore,549,-1.6,100345
Korea,514,-2.9,41351
Moldova,424,-2.4,7305
New Zealand,506,-2,40135
Hong Kong (China),524,-2.7,64216
Belgium,493,-2.3,48245
Colombia,412,-3.3,14943
Turkey,466,-2.2,27956
Netherlands,485,-2.7,56383
Lithuania,476,-1.5,34826
Georgia,380,-2.2,11485
Bosnia and Herzegovina,403,-2.9,13491
Thailand,393,-3.2,19476
Baku (Azerbaijan),389,-2.5,18076
Romania,428,-5.1,26447
Finland,520,-2.3,46430
Poland,512,-2.7,31939
Kosovo,353,-1.1,11552
Portugal,492,-2.4,32006
Brazil,413,-2.1,16154
Costa Rica,426,-3.4,17559
United Arab Emirates,432,-2.3,69382
Slovak Republic,458,-2.2,35130
Uruguay,427,-2.8,23274
Indonesia,371,-2.6,13230
North Macedonia,393,-1.1,15709
Saudi Arabia,399,-3,55944
Greece,457,-3.6,29123
Philippines,340,-3.3,8936
Luxembourg,470,-1.1,106705
Belarus,474,-2.4,20003
United Kingdom,504,-2.6,45705
