Country,Reading Mean,Mathematics Mean,Science Mean,Reading Long-term Diff,Mathematics Long-term Diff,Science Long-term Diff,Reading short-term Diff,Mathematics short-term Diff,Science short-term Diff,share of top performers,share of low performers
OECD average,487,489,489,0,-1,-2,-3,2,-2,15.7,13.4
Singapore,549,569,551,6,1,3,14,5,-5,43.3,4.1
China,524,551,517,2,0,-8,-2,3,-7,32.3,5.3
Estonia,523,523,530,6,2,0,4,4,-4,22.5,4.2
Canada,520,512,518,-2,-4,-3,-7,-4,-10,24.1,6.4
Finland,520,507,522,-5,-9,-11,-6,-4,-9,21,7
Ireland,518,500,496,0,0,-3,-3,-4,-6,15.4,7.5
Korea,514,526,519,-3,-4,-3,-3,2,3,26.6,7.5
Poland,512,516,511,5,5,2,6,11,10,21.2,6.7
Sweden,506,502,499,-3,-2,-1,6,8,6,19.4,10.5
New Zealand,506,494,508,-4,-7,-6,-4,-1,-5,20.2,10.9
United States,505,478,502,0,-1,2,8,9,6,17.1,12.6
United Kingdom,504,502,505,2,1,-2,6,9,-5,19.4,9
Japan,504,527,529,1,0,-1,-12,-5,-9,23.3,6.4
Australia,503,491,503,-4,-7,-7,0,-3,-7,18.9,11.2
Denmark,501,509,493,1,-1,0,1,-2,-9,15.8,8.1
Norway,499,501,490,1,2,1,-14,-1,-8,17.8,11.3
Germany,498,500,503,3,0,-4,-11,-6,-6,19.1,12.8
Slovenia,495,509,507,2,2,-2,-10,-1,-6,17.3,8
Belgium,493,508,499,-2,-4,-3,-6,1,-3,19.4,12.5
France,493,495,493,0,-3,-1,-7,2,-2,15.9,12.5
Portugal,492,492,492,4,6,4,-6,1,-9,15.2,12.6
Czech Republic,490,499,497,0,-4,-4,3,7,4,16.6,10.5
Netherlands,485,519,503,-4,-4,-6,-18,7,-5,21.8,10.8
Austria,484,499,490,-1,-2,-6,0,2,-5,15.7,13.5
Switzerland,484,515,495,-1,-2,-4,-8,-6,-10,19.8,10.7
Croatia,479,464,472,1,0,-5,-8,0,-3,8.5,14.1
Latvia,479,496,487,2,2,-1,-9,14,-3,11.3,9.2
Russia,479,488,478,7,5,0,-16,-6,-9,10.8,11.2
Italy,476,487,468,0,5,-2,-8,-3,-13,12.1,13.8
Hungary,476,481,481,-1,-3,-7,6,4,4,11.3,15.5
Lithuania,476,481,482,2,-1,-3,3,3,7,11.1,13.9
Iceland,474,495,475,-4,-5,-5,-8,7,2,13.5,13.7
Belarus,474,472,471,m,m,m,m,m,m,9,15.9
Israel,470,463,462,6,6,3,-9,-7,-4,15.2,22.1
Luxembourg,470,483,477,-1,-2,-2,-11,-2,-6,14.4,17.4
Ukraine,466,453,469,m,m,m,m,m,m,7.5,17.5
Turkey,466,454,468,2,4,6,37,33,43,6.6,17.1
Slovak Republic,458,486,464,-3,-4,-8,5,11,3,12.8,16.9
Greece,457,451,452,-2,0,-6,-10,-2,-3,6.2,19.9
Chile,452,417,444,7,1,1,-6,-5,-3,3.5,23.5
Malta,448,472,457,2,4,-1,2,-7,-8,11.3,22.6
Serbia,439,448,440,8,3,1,m,m,m,6.7,24.7
United Arab Emirates,432,435,434,-1,4,-2,-2,7,-3,8.3,30.1
Romania,428,430,426,7,5,2,-6,-14,-9,4.1,29.8
Uruguay,427,418,426,1,-2,0,-9,0,-10,2.4,31.9
Costa Rica,426,402,416,-7,-3,-6,-1,2,-4,0.9,33.5
Cyprus,424,451,439,-12,6,1,-18,14,6,5.9,25.7
Moldova,424,421,428,14,9,6,8,1,0,3.2,30.5
Montenegro,421,430,415,8,8,2,-6,12,4,2.3,31.5
Mexico,420,409,419,2,3,2,-3,1,3,1.1,35
Bulgaria,420,436,424,1,6,-1,-12,-5,-22,5.5,31.9
Jordan,419,400,429,4,3,1,11,20,21,1.4,28.4
Malaysia,415,440,438,2,13,7,m,m,m,2.7,27.8
Brazil,413,384,404,3,5,2,6,6,3,2.5,43.2
Colombia,412,391,413,7,5,6,-13,1,-2,1.5,39.9
Brunei Darussalam,408,430,431,m,m,m,m,m,m,4.3,37.6
Qatar,407,414,419,22,23,18,5,12,2,4.8,37.4
Albania,405,437,417,10,20,11,0,24,-10,2.5,29.7
Bosnia and Herzegovina,403,406,398,m,m,m,m,m,m,1,41.3
Argentina,402,379,404,-1,-1,3,m,m,m,1.2,41.4
Peru,401,400,404,14,12,13,3,13,8,1.4,42.8
Saudi Arabia,399,373,386,m,m,m,m,m,m,0.3,45.4
Thailand,393,419,426,-4,0,1,-16,3,4,2.7,34.6
North Macedonia,393,394,413,1,23,29,41,23,29,1.7,39
Baku (Azerbaijan),389,420,398,m,m,m,m,m,m,2.1,38.9
Kazakhstan,387,423,397,-1,5,-3,m,m,m,2.2,37.7
Georgia,380,398,383,4,8,6,-22,-6,-28,1.2,48.7
Panama,377,353,365,2,-2,-4,m,m,m,0.3,59.5
Indonesia,371,379,396,1,2,3,-26,-7,-7,0.6,51.7
Morocco,359,368,377,m,m,m,m,m,m,0.1,60.2
Lebanon,353,393,384,m,m,m,7,-3,-3,2.6,49.1
Kosovo,353,366,365,m,m,m,6,4,-14,0.1,66
Dominican Republic,342,325,336,m,m,m,-16,-3,4,0.1,75.5
Philippines,340,353,357,m,m,m,m,m,m,0.2,71.8
Spain,m,481,483,m,0,-1,m,-4,-10,m,m
