Country,"GDP
"
Albania,18128
Argentina,23650
Armenia,21253
Australia,55283
Austria,65534
Azerbaijan,18531
Bahrain,58573
Belarus,22532
Belgium,65873
Bosnia and Herzegovina,18765
Brazil,18603
Brunei Darussalam,68255
Bulgaria,28934
Cambodia,4784
Canada,59972
Chile,30373
China,21543
Colombia,22614
Costa Rica,26735
Croatia,34494
Cyprus,44384
Czech Republic,44299
Denmark,64672
Dominican Republic,23376
Ecuador,12948
El Salvador,9882
Estonia,42281
Finland,55263
France,55990
Georgia,24275
Germany,61488
Greece,35849
Guatemala,9827
Hong Kong (China),68254
Hungary,39074
Iceland,57967
India,8510
Indonesia,15027
Iran,17983
Ireland,102280
Israel,43451
Italy,54228
Jamaica,12192
Japan,42140
Jordan,13745
Kazakhstan,32255
Korea,56736
Kuwait,62231
Latvia,35286
Lithuania,43185
Luxembourg,125920
Macao (China),71185
Malaysia,34185
Malta,48894
Mexico,23469
Moldova,12893
Mongolia,15878
Montenegro,24654
Morocco,8853
Netherlands,63742
New Zealand,51630
North Macedonia,18653
Norway,88535
Oman,48777
Pakistan,5971
Palestinian Authority,6199
Panama,33749
Paraguay,15764
Peru,14853
Philippines,9673
Poland,44391
Portugal,38038
Qatar,102018
Romania,38321
Saudi Arabia,48711
Serbia,24572
Singapore,115000
Slovak Republic,36098
Slovenia,43805
South Africa,16568
Spain,45598
Sweden,58223
