Country,Reading_Mean,Mathematics Mean,Science Mean,Reading Long-term Diff,Mathematics Long-term Diff,Science Long-term Diff,Reading short-term Diff,Mathematics short-term Diff,Science short-term Diff,share of top performers,share of low performers
OECD average,472,476,485,-7,-4,-7,-15,-10,-2,13.7,16.4
Singapore,575,543,561,6,12,12,6,-7,10,44.5,4.2
Japan,536,516,547,2,2,4,9,12,17,28.7,5.3
Korea,527,515,528,-13,-11,-4,1,1,9,29.7,7.3
Estonia,510,511,526,1,11,-3,-13,-12,-4,20,5.2
Switzerland,508,483,503,-12,-7,-11,-7,-1,7,19.4,12.4
Canada,497,507,515,-17,-9,-12,-15,-13,-3,22.7,8.1
Netherlands,493,459,488,-20,-25,-23,-27,-26,-15,19,20.2
Ireland*,492,516,504,-2,-1,-7,-8,-2,8,14.7,7.5
Belgium,489,479,491,-18,-11,-11,-19,-14,-8,15.5,15.2
Denmark,489,489,494,-9,0,-3,-20,-12,1,12.8,10.3
United Kingdom,489,494,500,-1,2,-10,-13,-10,-5,17.9,12
Poland,489,489,499,5,5,-1,-27,-23,-12,15.3,11.9
Austria,487,480,491,-9,-5,-14,-12,-4,1,14.6,15.5
Australia*,487,498,507,-21,-14,-16,-4,-5,4,20.7,12.1
Czech Republic,487,489,498,-12,1,-9,-12,-2,1,15.5,12.2
Slovenia,485,469,500,-7,-7,-10,-24,-27,-7,13,12
Finland,484,490,511,-34,-23,-34,-23,-30,-11,17.9,11.5
Latvia*,483,475,494,2,3,-1,-13,-4,7,9.7,10.6
Sweden,482,487,494,-9,-11,-2,-21,-19,-6,17,15.2
New Zealand,479,501,504,-24,-12,-18,-15,-5,-4,19.5,13.7
Lithuania,475,472,484,-4,2,-6,-6,-4,2,10.4,14.4
Germany,475,480,492,-12,2,-17,-25,-18,-11,14.6,16.7
France,474,474,487,-14,-8,-6,-21,-19,-6,12.9,16.8
Spain,473,474,485,-4,-1,-2,m,m,m,10.6,12.9
Hungary,473,473,486,-10,-5,-15,-8,-3,5,11.2,16.5
Portugal,472,477,484,8,7,5,-21,-15,-7,10.1,13.8
Italy,471,482,477,8,1,-6,-15,5,9,10.7,12.9
Viet Nam,469,462,472,m,m,m,m,m,m,6.3,12.2
Norway,468,477,478,-7,-5,-7,-33,-23,-12,13.8,17.5
Malta,466,445,466,3,3,2,-6,-3,9,10.7,21.6
United States,465,504,499,-8,2,5,-13,-1,-3,18.1,14.8
Slovak Republic,464,447,462,-16,-13,-20,-22,-11,-2,9.5,22.2
Croatia,463,475,483,-1,0,-10,-1,-3,10,9.7,13.6
Iceland,459,436,447,-24,-24,-27,-36,-38,-28,6.8,23.3
Israel,458,474,465,11,13,7,-5,3,3,15.1,21.3
Türkiye,453,456,476,14,5,24,0,-10,8,7.3,18.5
Brunei Darussalam,442,429,446,m,m,m,12,21,15,4.5,30
Serbia,440,440,447,3,16,4,-8,1,8,5,24.5
United Arab Emirates,431,417,432,7,-12,-8,-4,-14,-2,8.8,33.9
Greece,430,438,441,-9,-12,-21,-21,-19,-11,3.9,25.7
Romania,428,428,428,6,15,3,-2,1,2,5,33.2
Kazakhstan,425,386,423,10,-4,6,2,-1,26,2.2,32.8
Mongolia,425,378,412,m,m,m,m,m,m,2.3,39.9
Serbia,439,448,440,8,3,1,m,m,m,6.7,24.7
United Arab Emirates,432,435,434,-1,4,-2,-2,7,-3,8.3,30.1
Romania,428,430,426,7,5,2,-6,-14,-9,4.1,29.8
Uruguay,427,418,426,1,-2,0,-9,0,-10,2.4,31.9
Costa Rica,426,402,416,-7,-3,-6,-1,2,-4,0.9,33.5
Cyprus,424,451,439,-12,6,1,-18,14,6,5.9,25.7
Moldova,424,421,428,14,9,6,8,1,0,3.2,30.5
Montenegro,421,430,415,8,8,2,-6,12,4,2.3,31.5
Mexico,420,409,419,2,3,2,-3,1,3,1.1,35
Bulgaria,420,436,424,1,6,-1,-12,-5,-22,5.5,31.9
Jordan,419,400,429,4,3,1,11,20,21,1.4,28.4
Malaysia,415,440,438,2,13,7,m,m,m,2.7,27.8
Brazil,413,384,404,3,5,2,6,6,3,2.5,43.2
Colombia,412,391,413,7,5,6,-13,1,-2,1.5,39.9
Qatar,407,414,419,22,23,18,5,12,2,4.8,37.4
Albania,405,437,417,10,20,11,0,24,-10,2.5,29.7
Bosnia and Herzegovina,403,406,398,m,m,m,m,m,m,1,41.3
Argentina,402,379,404,-1,-1,3,m,m,m,1.2,41.4
Peru,401,400,404,14,12,13,3,13,8,1.4,42.8
Saudi Arabia,399,373,386,m,m,m,m,m,m,0.3,45.4
Thailand,393,419,426,-4,0,1,-16,3,4,2.7,34.6
North Macedonia,393,394,413,1,23,29,41,23,29,1.7,39
Baku (Azerbaijan),389,420,398,m,m,m,m,m,m,2.1,38.9
Kazakhstan,387,423,397,-1,5,-3,m,m,m,2.2,37.7
Georgia,380,398,383,4,8,6,-22,-6,-28,1.2,48.7
Panama,377,353,365,2,-2,-4,m,m,m,0.3,59.5
Indonesia,371,379,396,1,2,3,-26,-7,-7,0.6,51.7
Morocco,359,368,377,m,m,m,m,m,m,0.1,60.2
Lebanon,353,393,384,m,m,m,7,-3,-3,2.6,49.1
Kosovo,353,366,365,m,m,m,6,4,-14,0.1,66
Dominican Republic,342,325,336,m,m,m,-16,-3,4,0.1,75.5
Philippines,340,353,357,m,m,m,m,m,m,0.2,71.8
Spain,m,481,483,m,0,-1,m,-4,-10,m,m
