Country,Spending
OECD average,102642
Singapore,160000
Macao (China),200000
Chinese Taipei,115000
Hong Kong (China),140000
Japan,100000
Korea,150000
United Kingdom,120000
Australia,125000
Canada,120000
Netherlands,115000
Denmark,130000
Austria,140000
New Zealand,80000
Ireland,90000
Belgium,135000
Czech Republic,85000
Slovenia,110000
Latvia,85000
Poland,90000
Lithuania,90000
Spain,95000
Portugal,95000
Finland,105000
Hungary,80000
Sweden,140000
Iceland,150000
Norway,160000
Germany,130000
United States,150000
Italy,115000
France,120000
Slovak Republic,70000
Croatia,80000
Israel,100000
Malta,160000
Türkiye,50000
Brunei Darussalam,190000
Ukrainian regions (18 of 27),30000
Serbia,35000
Greece,70000
Romania,40000
Kazakhstan,20000
Uruguay,55000
Bulgaria,60000
Chile,65000
Mongolia,25000
Malaysia,65000
Baku (Azerbaijan),20000
North Macedonia,45000
Mexico,60000
Georgia,20000
Peru,35000
Viet Nam,15000
Jamaica,30000
Colombia,50000
Argentina,55000
Indonesia,15000
Albania,55000
Jordan,25000
Morocco,30000
Uzbekistan,35000
Palestinian Authority,55000
Panama,70000
Dominican Republic,60000
El Salvador,20000
Philippines,35000
Paraguay,35000
Cambodia,10000
Qatar,160000
